"Here's the BOM for my macropad: ","","","","","","","","",""
" ","","","","","","","","",""
"Name","Quantity ","","","","","","","",""
"Seeed Studio XIAO RP2040","1 ","","","","","","","",""
"MCP23017 I2C I/O Expander","1 ","","","","","","","",""
"BSS138 MOSFET","1 ","","","","","","","",""
"1N4148 Diode (Through-hole)","16 ","","","","","","","",""
"MX-Style Switch","16 ","","","","","","","",""
"Kailh MX-Style Hotswap Socket","16 ","","","","","","","",""
"Blank DSA Keycap (White)","16 ","","","","","","","",""
